,中文题名,作者,学位授予单位,数据库,学位授予年度,被引,下载,操作,下载地址
200,基于APOS理论的导数概念教学研究,温泉,河北师范大学,硕士,2021年,,35,下载,https://kns.cnki.net//kns8/download?filename=uVmWR12K0VHZONmZCRUZjFmZGFmQOhneMB1VtVXZV9idotEM3kDU5UWZwElY6pWU3AXZq50bZpXem5kcmFWRZVUe6pnT0EkTGBlYhRkNWVUZaREc05GRtVzNvRGWCBTOQl0bQxGUDFkNulzMSFVV5tWWMREOktCR&tablename=CMFD202102

201,高中数学教材数学史内容的适切性研究,王兴梅,河北师范大学,硕士,2021年,,24,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe3QHOOtGT2oEeOFUetd3QQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
202,核心素养导向下教材习题难度的比较研究,王子佩,河北师范大学,硕士,2021年,,42,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeP9kcWhlYhhGWTF1MjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
203,坝上地区初三学生数学运算能力现状的调查研究,王慧娟,河北师范大学,硕士,2021年,,32,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeKhTSKt2bxEkaNF1MjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
204,基于核心素养的高考数列试题研究,王月颖,河北师范大学,硕士,2021年,,50,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWerdXdy5maTllNOF1MjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
205,高中数学教师的教学价值取向的现状调查,王硕,河北师范大学,硕士,2021年,,9,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWerwkWhVVRVBzNIl2MjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
206,人教A版和北师大版高中数学教材中数学文化的比较研究,王韵,河北师范大学,硕士,2021年,,32,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWewJ0a2ADVlFXTuh2MjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
207,七年级学生数感现状的调查研究,许雅倩,河北师范大学,硕士,2021年,,19,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeSR2K5EDZzIWVoFkMjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
208,中学数学教师专业伦理负面行为研究,阎雪,河北师范大学,硕士,2021年,,16,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeXB1UFtySQlUdSFnMjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
209,基于DINA模型的初中生轴对称学习认知诊断研究,顾甜怡,河北师范大学,硕士,2021年,,40,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe2ATSt92ZwATY2FnMjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
210,指向深度学习的高中数学单元教学设计研究,高然,河北师范大学,硕士,2021年,,181,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeYJWe2glWOlzUwpnMjV3RQVjYx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
211,GeoGebra在初中数学教学中应用的实践研究,郝雪丽,沈阳师范大学,硕士,2021年,,59,下载,https://kns.cnki.net//kns8/download?filename=0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe=0TW28EZhx2LYRUYU90QxJ0QvA1NLFkWN1EOPpVNI5EOrRjbYd0KFxWc3hTSohXd4RTWP9mVz5ka2t&tablename=CMFDTEMP
212,数学课程中师范生批判性思维的培养研究,江锦,上海师范大学,硕士,2021年,,54,下载,https://kns.cnki.net//kns8/download?filename=4RTWP9mVz5ka2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe==wa3AVcr8GZ2t2d0NFS6dURUVkMElWY2Azazl3VF10RzdjSuJFTGFzLUVWRwA1byFVNnNUZW9mckl3bFxWc3hTSohXd&tablename=CMFD202102
213,初中生数学应用题审题中存在的问题及对策研究,张佳慧,沈阳师范大学,硕士,2021年,,26,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeUF0dRFmS5w2YPV0QK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
214,思维导图在初中数学复习课中的应用现状研究,范满媛,沈阳师范大学,硕士,2021年,,83,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe3F2YxcnYkdkUOlDRK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
215,初中生数据分析观念发展水平现状研究,崔悦,沈阳师范大学,硕士,2021年,,15,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe4Y3ZltSSIpkMLlDRK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
216,肢体语言在初中数学教学中使用的调查研究,任芯慧,沈阳师范大学,硕士,2021年,,14,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeoBnT1V1anZTUW9WQK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
217,初中生数学问题解决能力调查研究,张晗,沈阳师范大学,硕士,2021年,,44,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe3J0Lr9mNztmTh9WQK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
218,初中生数学教科书使用现状研究,王新宇,沈阳师范大学,硕士,2021年,,28,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWesVUbUtUW0RFRh9WQK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
219,高中数学教师对新教材的适应性研究,高圆月,沈阳师范大学,硕士,2021年,,41,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWewlGRwJ3K1Z1Uh9WQK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
220,中考数学试题与课程标准一致性的研究,蒋文竹,沈阳师范大学,硕士,2021年,,30,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeyk1drN1NxFVbZllQK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
221,基于网络画板提升高中生数学学习质量的教学设计与实践,甄勇杰,重庆三峡学院,硕士,2021年,,50,下载,https://kns.cnki.net//kns8/download?filename=4RTWP9mVz5ka2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe==QbNx2M2YlSidXStlHcSZVUkF3V292UsRXaxl0d5dmTadUNiN2VB9mMVpHRyZGcMZlcQFERFlVZXl3bFxWc3hTSohXd&tablename=CMFD202102
222,基于GeoGebra的二次函数教学设计研究,秦启发,重庆三峡学院,硕士,2021年,,86,下载,https://kns.cnki.net//kns8/download?filename=4RTWP9mVz5ka2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe==AdGZ2KKZWUmdGWtlHcSZVUkF3V292UsRXaxl0d5dmTadUNiN2VB9mMVpHRyZGcMZlcQFERFlVZXl3bFxWc3hTSohXd&tablename=CMFD202102
223,HPM视角下高中生直观想象素养培养的教学设计与实践,刘福坪,重庆三峡学院,硕士,2021年,,78,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeJlUT1IkeRlWWzUDN45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
224,核心素养视域下初中数学“综合与实践”教学设计研究,张亚男,重庆三峡学院,硕士,2021年,1,123,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeroFURJWRalmVWdzb45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
225,新课程理念下初一数学作业设计与评价研究,张美琳,重庆三峡学院,硕士,2021年,,214,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeYN1Y3sSWERTUZdzb45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
226,人教A版新旧教材函数必修部分内容的比较研究,杜玲,重庆三峡学院,硕士,2021年,,39,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWezI1T0M1R1RDeZdzb45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
227,初中函数教学渗透模型思想的教学策略研究,杨洪,重庆三峡学院,硕士,2021年,,38,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeadUWNtUS6VzVzdzb45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
228,培养初一学生数感的教学策略研究,林玉连,重庆三峡学院,硕士,2021年,,26,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeRtSYsVnYh9yKzdzb45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
229,初中数与代数落实立德树人的教学设计研究,汤玉欢,重庆三峡学院,硕士,2021年,,83,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeycVROVFaQJGWDR0b45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
230,初中“图形与几何”教学中问题情境设计与实践,王萌,重庆三峡学院,硕士,2021年,,36,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeCZWYuhlVCl0ZER0b45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
231,基于核心素养的主题教学研究,胡艳,重庆三峡学院,硕士,2021年,,94,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWes5UdzZTevhGMOR0b45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
232,高中数学新教材在万州区使用情况调查研究,谭赛,重庆三峡学院,硕士,2021年,,36,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeql2dOdFMkJFdNR0b45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
233,提升数学建模素养的案例教学策略研究,谭辉,重庆三峡学院,硕士,2021年,,90,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeKVTWupWU312dhR0b45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
234,初中生几何直观能力现状调查研究,郎颜潞,重庆三峡学院,硕士,2021年,,37,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe6pGZHdDU0IXdhR0b45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
235,促进初二学生数学基本活动经验积累的教学策略研究,郭靖,重庆三峡学院,硕士,2021年,,28,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeF5kYOtEZIFld21EVw4GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
236,数学文化融入高中微积分的教学研究,钟立谋,重庆三峡学院,硕士,2021年,,57,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeyRDa1pHUl1Ge11EVw4GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
237,初中数学复习课中学生问题提出能力培养策略研究,马红娇,重庆三峡学院,硕士,2021年,,54,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeyVjRwQ1MydTb21EVw4GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
238,融入数学写作的初中数学教学研究,王爽,上海师范大学,硕士,2021年,,70,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeitEUlp0RXFmVxB3MMJUe0dldZV1R3ZnTmNzb1FFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
239,基于SOLO分类理论的北京市中考数学试题研究,鞠丽楠,中央民族大学,硕士,2021年,,48,下载,https://kns.cnki.net//kns8/download?filename=0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe=0TTtdDSXpVNpNTSwQlYu1mTvA1NLFkWN1EOPpVNI5EOrRjbYd0KFxWc3hTSohXd4RTWP9mVz5ka2t&tablename=CMFDTEMP
240,数学史在初中数学概念教学中的融入研究,房倩倩,重庆三峡学院,硕士,2021年,,102,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe5w0Qr82Y4gGdadzb45GarIDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
241,基于数学建模核心素养的高中“概率统计”教学研究,刘易松,牡丹江师范学院,硕士,2021年,,130,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe5VnRyYDRzZ1Ut1EeRpGVWFDcYZ1Yx0kej9iS3YGcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
242,七年级学生数学自主学习的调查研究,高海洋,沈阳师范大学,硕士,2021年,,25,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeYplWyRTZspUOh9WQK5UM0QzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
243,高中数学教师课堂提问的有效运用研究,朱悦,上海师范大学,硕士,2021年,,142,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeZF2Z2VHbrg1KmVFMMJUe0dldZV1R3ZnTmNzb1FFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
244,高中数学概念课作业设计评价指标体系构建研究,刘珂欣,天津师范大学,硕士,2021年,,152,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeJtUeodWMvQlNVd2Q5MDModzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
245,高中生对数学教材中阅读材料的学习情况调查研究,霍杨杏,天津师范大学,硕士,2021年,,42,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeK50TMJHd5RjZnVGR5MDModzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
246,课堂师生互动模式对高中生数学学习的影响研究,胡雪山,天津师范大学,硕士,2021年,,50,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWemhUNoNTTYpnRoVGR5MDModzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
247,初中数学概念课教学难点教学设计评价指标体系构建研究,杨海帆,天津师范大学,硕士,2021年,,42,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWe3ZXeDlEdwZFeyE0Q5MDModzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
248,小学数学概念课教学难点突破设计评价指标体系构建研究,黄天莉,天津师范大学,硕士,2021年,,38,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeTJ1dw4ESNJ1TyE0Q5MDModzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
249,小学高年级学生数学学习非智力水平常模研究及其应用案例分析,彭宇佳,天津师范大学,硕士,2021年,,23,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWeqVmV5RkUshTc4E0Q5MDModzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102
250,指向深度学习的微课教学对小学生数学学习的影响,陈雅,天津师范大学,硕士,2021年,,77,下载,https://kns.cnki.net//kns8/download?filename=2t0SrRnV5EFd5x2K1E2Trp1ZzhFctBFendnd5smQ5dWdRxmcTVjZFFVcnZzZXhjQ4A1MromWaxmSiFWexl2NUV1NQljQ4E0Q5MDModzLx9SN4EnSuNVOXlFcMZlcQFERFlVZXl3bFxWc3hTSohXd4RTWP9mVz5ka&tablename=CMFD202102

251,高中数学教学中融入美育的调查研究,袁花香,上海师范大学,硕士,2021年,,166,下载,https://kns.cnki.net//kns8/download?filename=2UkSzgHRxIVRKZGRYpVam1WUw42L1NGdnNFZP5kM3JEVlJFcwV0K2IjczQmYKFzUwtGUJJmSCZ3bFtkQZlFUa1kYx9SWn9ieH5kWxY0TwkkWI5WYKljaVpEVSVmZw8CW4dTT2hVONZEN1ADb3oEZRVlNUJ0TZpkc&tablename=CMFD202102
252,新版高中数学教材中数学建模内容的比较研究,赵松艳,中央民族大学,硕士,2021年,,28,下载,https://kns.cnki.net//kns8/download?filename=kSzgHRxIVRKZGRYpVam1WUw42L1NGdnNFZP5kM3JEVlJFcwV0K2IjczQmYKFzUwtGUJJmSCZ3bFtkQ=0TQYVTY2dGapRzQXN1cuhzS5QTYXVzQwgUTsV1biNTe4YFM3plcNZEN1ADb3oEZRVlNUJ0TZpkc2U&tablename=CMFDTEMP
253,高中数学单元教学设计研究与实践,付鹏,中央民族大学,硕士,2021年,,88,下载,https://kns.cnki.net//kns8/download?filename=kSzgHRxIVRKZGRYpVam1WUw42L1NGdnNFZP5kM3JEVlJFcwV0K2IjczQmYKFzUwtGUJJmSCZ3bFtkQ=0TRzJDUw8iQLRzQXN1cuhzS5QTYXVzQwgUTsV1biNTe4YFM3plcNZEN1ADb3oEZRVlNUJ0TZpkc2U&tablename=CMFDTEMP
254,初中数学教师课堂提问的等待时间个案研究,术宏博,中央民族大学,硕士,2021年,,25,下载,https://kns.cnki.net//kns8/download?filename=kSzgHRxIVRKZGRYpVam1WUw42L1NGdnNFZP5kM3JEVlJFcwV0K2IjczQmYKFzUwtGUJJmSCZ3bFtkQ=0zYHlFbW50bmJjQXN1cuhzS5QTYXVzQwgUTsV1biNTe4YFM3plcNZEN1ADb3oEZRVlNUJ0TZpkc2U&tablename=CMFDTEMP
255,核心素养视角下的新高考数学试题研究,张洋,中央民族大学,硕士,2021年,,83,下载,https://kns.cnki.net//kns8/download?filename=kSzgHRxIVRKZGRYpVam1WUw42L1NGdnNFZP5kM3JEVlJFcwV0K2IjczQmYKFzUwtGUJJmSCZ3bFtkQ=0TRTVGbRR3cwZzYXN1cuhzS5QTYXVzQwgUTsV1biNTe4YFM3plcNZEN1ADb3oEZRVlNUJ0TZpkc2U&tablename=CMFDTEMP
256,初中生数学问题提出水平及影响因素研究,孙佳,中央民族大学,硕士,2021年,,65,下载,https://kns.cnki.net//kns8/download?filename=kSzgHRxIVRKZGRYpVam1WUw42L1NGdnNFZP5kM3JEVlJFcwV0K2IjczQmYKFzUwtGUJJmSCZ3bFtkQ=0TRqhlVM50cwZzYXN1cuhzS5QTYXVzQwgUTsV1biNTe4YFM3plcNZEN1ADb3oEZRVlNUJ0TZpkc2U&tablename=CMFDTEMP
257,父母对失败的看法对小学生数学成绩影响的实证研究,万淑雅,中央民族大学,硕士,2021年,,15,下载,https://kns.cnki.net//kns8/download?filename=kSzgHRxIVRKZGRYpVam1WUw42L1NGdnNFZP5kM3JEVlJFcwV0K2IjczQmYKFzUwtGUJJmSCZ3bFtkQ=0zcJpHNyc3bmJjQXN1cuhzS5QTYXVzQwgUTsV1biNTe4YFM3plcNZEN1ADb3oEZRVlNUJ0TZpkc2U&tablename=CMFDTEMP
